Player,Country,Span,Matches,Innings,BallsBowled,RunsConceded,Wickets,BowlingAverage,EconomyRate,StrikeRate,5WicketsPerInnings
HS Baidwan (Can),Canada,2008-2011,28,28,1413,1221,43,28.39,5.18,32.8,0
WB Rankin (Ire),Ireland,2007-2012,37,36,1700,1391,43,32.34,4.9,39.5,0
MA Suji (Kenya),Kenya,1996-2006,64,64,2952,2190,43,50.93,4.45,68.6,0
JC Adams (WI),West Indies,1992-2001,127,56,1856,1499,43,34.86,4.84,43.1,1
AC Botha (Ire),Ireland,2006-2011,42,33,1560,1134,42,27,4.36,37.1,0
JS Patel (NZ),New Zealand,2005-2009,39,38,1804,1513,42,36.02,5.03,42.9,0
SA Thomson (NZ),New Zealand,1990-1996,56,51,2121,1602,42,38.14,4.53,50.5,0
Wahab Riaz (Pak),Pakistan,2008-2013,28,27,1262,1183,42,28.16,5.62,30,1
KLT Arthurton (WI),West Indies,1988-1999,105,44,1384,1159,42,27.59,5.02,32.9,0
AD Russell (WI),West Indies,2011-2013,34,33,1427,1302,42,31,5.47,33.9,0
S Dhaniram (Can),Canada,2006-2010,44,41,1769,1240,41,30.24,4.2,43.1,1
DG Cork (Eng),England,1992-2002,32,32,1772,1368,41,33.36,4.63,43.2,0
JAR Blain (Scot),Scotland,1999-2009,33,32,1329,1173,41,28.6,5.29,32.4,1
RM Haq (Scot),Scotland,2006-2013,34,33,1703,1276,41,31.12,4.49,41.5,0
HA Gomes (WI),West Indies,1978-1987,83,36,1345,1045,41,25.48,4.66,32.8,0
CE Cuffy (WI),West Indies,1994-2002,41,41,2153,1436,41,35.02,4,52.5,0
SM Ervine (Zim),Zimbabwe,2001-2004,42,40,1649,1561,41,38.07,5.67,40.2,0
Saleem Jaffar (Pak),Pakistan,1986-1990,39,39,1900,1382,40,34.55,4.36,47.5,0
RP Arnold (SL),Sri Lanka,1997-2007,180,84,2157,1739,40,43.47,4.83,53.9,0
TBA May (Aus),Australia,1987-1995,47,46,2504,1772,39,45.43,4.24,64.2,0
LE Plunkett (Eng),England,2005-2011,29,29,1363,1321,39,33.87,5.81,34.9,0
WK McCallan (Ire),Ireland,2006-2009,39,35,1804,1208,39,30.97,4.01,46.2,0
MO Odumbe (Kenya),Kenya,1996-2003,61,52,2237,1807,39,46.33,4.84,57.3,0
PT Collins (WI),West Indies,1999-2005,30,30,1577,1212,39,31.07,4.61,40.4,1
WW Davis (WI),West Indies,1983-1988,35,35,1923,1302,39,33.38,4.06,49.3,1
KA Pollard (WI),West Indies,2007-2013,75,51,1607,1460,39,37.43,5.45,41.2,0
MG Hughes (Aus),Australia,1988-1993,33,33,1639,1115,38,29.34,4.08,43.1,0
Akram Raza (Pak),Pakistan,1989-1995,49,48,2601,1611,38,42.39,3.71,68.4,0
AJ Ireland (Zim),Zimbabwe,2005-2007,26,26,1326,1115,38,29.34,5.04,34.8,0
EE Hemmings (Eng),England,1982-1991,33,32,1752,1294,37,34.97,4.43,47.3,0
GH Dockrell (Ire),Ireland,2010-2012,30,29,1353,940,37,25.4,4.16,36.5,0
M Kartik (India),Ireland,2002-2007,37,36,1907,1612,37,43.56,5.07,51.5,1
MR Gillespie (NZ),New Zealand,2006-2009,32,31,1521,1369,37,37,5.4,41.1,0
WD Parnell (SA),South Africa,2009-2012,27,26,1288,1196,37,32.32,5.57,34.8,2
TJ Friend (Zim),Zimbabwe,2000-2004,51,45,1930,1779,37,48.08,5.53,52.1,0
MA Starc (Aus),Australia,2010-2013,18,18,814,662,36,18.38,4.87,22.6,3
AIC Dodemaide (Aus),Australia,1988-1993,24,24,1327,753,36,20.91,3.4,36.8,1
MG Bevan (Aus),Australia,1994-2004,232,67,1966,1655,36,45.97,5.05,54.6,0
JM Davison (Can),Canada,2003-2011,32,31,1435,1067,36,29.63,4.46,39.8,0
GA Gooch (Eng),England,1976-1995,125,60,2066,1516,36,42.11,4.4,57.3,0
PM Seelaar (Neth),Netherlands,2006-2012,33,33,1525,1191,36,33.08,4.68,42.3,0
SB Doull (NZ),New Zealand,1992-2000,42,42,1745,1459,36,40.52,5.01,48.4,0
HMCM Bandara (SL),Sri Lanka,2006-2010,31,28,1470,1232,36,34.22,5.02,40.8,0
EAE Baptiste (WI),West Indies,1983-1990,43,43,2214,1511,36,41.97,4.09,61.5,0
BA Williams (Aus),Australia,2002-2004,25,24,1203,814,35,23.25,4.05,34.3,2
Naeem Islam (Ban),Bangladesh,2008-2012,53,46,1734,1385,35,39.57,4.79,49.5,0
M Hendrick (Eng),England,1973-1981,22,22,1248,681,35,19.45,3.27,35.6,1
CO Obuya (Kenya),Kenya,2001-2013,98,49,1818,1637,35,46.77,5.4,51.9,1
NC Johnson (Zim),Zimbabwe,1998-2000,48,39,1503,1220,35,34.85,4.87,42.9,0
RDM Leverock (Ber),Bermuda,2006-2009,32,32,1684,1123,34,33.02,4,49.5,1
RR Powar (India),India,2004-2007,31,29,1536,1191,34,35.02,4.65,45.1,0
JF Mooney (Ire),Ireland,2006-2012,45,32,1099,971,34,28.55,5.3,32.3,0
L Balaji (India),Ireland,2002-2009,30,30,1447,1344,34,39.52,5.57,42.5,0
Tahir Naqqash (Pak),Pakistan,1980-1985,40,37,1596,1240,34,36.47,4.66,46.9,0
VB John (SL),Sri Lanka,1982-1987,45,45,2311,1655,34,48.67,4.29,67.9,0
OD Gibson (WI),West Indies,1995-1997,15,15,739,621,34,18.26,5.04,21.7,2
JA Rennie (Zim),Zimbabwe,1993-2000,44,43,1965,1564,34,46,4.77,57.7,0
U Bhatti (Can),Canada,2006-2010,36,35,1630,1149,33,34.81,4.22,49.3,0
YK Pathan (India),India,2008-2012,57,50,1490,1365,33,41.36,5.49,45.1,0
JG Bracewell (NZ),New Zealand,1983-1990,53,50,2447,1884,33,57.09,4.61,74.1,0
Sikander Bakht (Pak),Pakistan,1977-1989,27,27,1277,860,33,26.06,4.04,38.6,0
Shabbir Ahmed (Pak),Pakistan,1999-2005,32,32,1642,1192,33,36.12,4.35,49.7,0
EO Simons (SA),South Africa,1994-1995,23,23,1212,810,33,24.54,4,36.7,0
S Randiv (SL),Sri Lanka,2009-2011,28,26,1269,1008,33,30.54,4.76,38.4,1
KCG Benjamin (WI),West Indies,1992-1996,26,26,1319,923,33,27.96,4.19,39.9,0
AC Dale (Aus),Australia,1997-2000,30,30,1596,979,32,30.59,3.68,49.8,0
Rizwan Cheema (Can),Canada,2008-2013,33,32,1330,1095,32,34.21,4.93,41.5,0
DL Underwood (Eng),England,1973-1982,26,24,1278,734,32,22.93,3.44,39.9,0
AJ Hollioake (Eng),England,1996-1999,35,32,1208,1019,32,31.84,5.06,37.7,0
MJ Hoggard (Eng),England,2001-2006,26,26,1306,1152,32,36,5.29,40.8,1
PP Chawla (India),India,2007-2011,25,25,1312,1117,32,34.9,5.1,41,0
GB Troup (NZ),New Zealand,1976-1985,22,22,1180,791,32,24.71,4.02,36.8,0
Junaid Khan (Pak),Pakistan,2011-2013,21,21,962,772,32,24.12,4.81,30,0
JM Kemp (Afr/SA),South Africa,2001-2007,85,48,1303,1015,32,31.71,4.67,40.7,0
SD Anurasiri (SL),Sri Lanka,1986-1994,45,43,2100,1464,32,45.75,4.18,65.6,0
DS de Silva (SL),Sri Lanka,1975-1985,41,40,2076,1557,32,48.65,4.5,64.8,0
H Masakadza (Zim),Zimbabwe,2001-2013,118,55,1256,1134,32,35.43,5.41,39.2,0
Samiullah Shenwari (Afg),Afghanistan,2009-2013,25,24,1143,827,31,26.67,4.34,36.8,0
Khurram Chohan (Can),Canada,2009-2011,23,22,1096,927,31,29.9,5.07,35.3,0
Arshad Ayub (India),India,1987-1990,32,32,1769,1216,31,39.22,4.12,57,1
E Schiferli (Neth),Netherlands,2002-2009,27,27,1210,934,31,30.12,4.63,39,0
MJ Mason (NZ),New Zealand,2003-2010,26,25,1179,1024,31,33.03,5.21,38,0
KS Lokuarachchi (SL),Sri Lanka,2003-2007,21,21,1011,725,31,23.38,4.3,32.6,0
GA Hick (Eng),England,1991-2001,120,47,1236,1026,30,34.2,4.98,41.2,1
RK Illingworth (Eng),England,1991-1996,25,25,1501,1059,30,35.3,4.23,50,0
JW Dernbach (Eng),England,2011-2013,22,22,1114,1166,30,38.86,6.28,37.1,0
SI Mahmood (Eng),England,2004-2009,26,25,1197,1169,30,38.96,5.85,39.9,0
NL McCullum (NZ),New Zealand,2009-2013,46,45,1862,1510,30,50.33,4.86,62,0
HMRKB Herath (SL),Sri Lanka,2004-2013,40,37,1820,1303,30,43.43,4.29,60.6,0
CEH Croft (WI),West Indies,1977-1981,19,19,1070,620,30,20.66,3.47,35.6,1
NO Miller (WI),West Indies,2008-2011,39,35,1582,1219,30,40.63,4.62,52.7,0
DA Marillier (Zim),Zimbabwe,2000-2003,48,35,1574,1235,30,41.16,4.7,52.4,0
BW Hilfenhaus (Aus),Australia,2007-2012,25,25,1216,1075,29,37.06,5.3,41.9,1
Hasibul Hossain (Ban),Bangladesh,1995-2004,32,32,1375,1338,29,46.13,5.83,47.4,0
RJ Sidebottom (Eng),England,2001-2010,25,25,1277,1039,29,35.82,4.88,44,0
RK Chauhan (India),India,1993-1997,35,34,1634,1216,29,41.93,4.46,56.3,0
TBM de Leede (Neth),Netherlands,1996-2007,29,29,1139,999,29,34.44,5.26,39.2,0
MD Crowe (NZ),New Zealand,1982-1995,143,46,1296,954,29,32.89,4.41,44.6,0
Manzoor Elahi (Pak),Pakistan,1984-1995,54,49,1743,1262,29,43.51,4.34,60.1,0
CM Wright (Scot),Scotland,2006-2009,20,19,861,663,29,22.86,4.62,29.6,0
PR Adams (SA),South Africa,1996-2003,24,23,1109,815,29,28.1,4.4,38.2,0
SJ Benn (WI),West Indies,2008-2011,25,24,1247,924,29,31.86,4.44,43,0
FA Rose (WI),West Indies,1997-2000,27,27,1326,1046,29,36.06,4.73,45.7,1
BA Murphy (Zim),Zimbabwe,2000-2003,31,29,1422,1130,29,38.96,4.76,49,0
R Vinay Kumar (India),India,2010-2012,22,22,989,925,28,33.03,5.61,35.3,0
