Player,Country,Span,Matches,Innings,BallsBowled,RunsConceded,Wickets,BowlingAverage,EconomyRate,StrikeRate,5WicketsPerInnings
Mohammad Akram (Pak),Pakistan,1995-2000,23,21,989,790,19,41.57,4.79,52,0
PDRL Perera (SL),Sri Lanka,1999-2007,19,19,888,820,19,43.15,5.54,46.7,0
VA Holder (WI),West Indies,1973-1978,12,12,681,454,19,23.89,4,35.8,1
AJ Traicos (Zim),Zimbabwe,1983-1993,27,26,1524,987,19,51.94,3.88,80.2,0
GD Campbell (Aus),Australia,1989-1990,12,12,613,404,18,22.44,3.95,34,0
DR Gilbert (Aus),Australia,1986-1986,14,14,684,552,18,30.66,4.84,38,1
DJ Hussey (Aus),Australia,2008-2013,69,39,802,698,18,38.77,5.22,44.5,0
Mohammad Ashraful (Asia/Ban),Bangladesh,2001-2013,174,40,697,661,18,36.72,5.69,38.7,0
J Lewis (Eng),England,2005-2007,13,13,716,500,18,27.77,4.18,39.7,0
RO Collinge (NZ),New Zealand,1973-1978,15,15,859,479,18,26.61,3.34,47.7,1
CS Martin (NZ),New Zealand,2001-2008,20,19,948,804,18,44.66,5.08,52.6,0
AP Kuiper (SA),South Africa,1991-1996,25,19,588,518,18,28.77,5.28,32.6,0
BD Julien (WI),West Indies,1973-1977,12,12,778,463,18,25.72,3.57,43.2,0
